User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14733363,male,68,190,94,29,105,40.8
14861698,female,20,166,60,14,94,40.3
11179863,male,69,179,79,5,88,38.7
16180408,female,34,179,71,13,100,40.5
17771927,female,27,154,58,10,81,39.8
15130815,female,36,151,50,23,96,40.7
19602372,female,33,158,56,22,95,40.5
11117088,male,41,175,85,25,100,40.7
12132339,male,60,186,94,21,97,40.4
17964668,female,26,146,51,16,90,40.2
13723164,female,36,177,76,1,74,37.8
13681290,female,21,157,56,17,100,40
15566424,male,66,171,79,11,90,40
12891699,female,32,157,54,18,93,40.4
13823829,male,53,182,85,2,82,38.1
17557348,female,39,156,62,28,104,40.8
12198133,male,39,182,82,4,82,38.6
15236104,male,46,169,67,11,89,40.2
11042324,female,27,171,65,4,85,38.6
